"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-mir-212",12.4990799122421,0.191289099125671,0.122808912860253,0.118173954612184,0.136663757034498
"hsa-mir-214",106.569397588938,0.396995453224416,0.128151808651862,0.00189592919184364,0.0026203899399465
"hsa-mir-215",23.3376721246716,-1.19553651960215,0.136403508876447,9.31782768760379e-19,3.30006397269301e-18
"hsa-mir-216a",1.59245956013675,1.3597449248624,0.263466910001127,0.1622636102886,0.185714587479885
"hsa-mir-217",58.7062748794833,0.264612090935653,0.156292253899804,0.0130688362880874,0.0164977883834766
"hsa-mir-218-1",71.0479654975004,-0.91157595171891,0.0985567179031092,1.69068009121942e-20,6.6326680501685e-20
"hsa-mir-218-2",67.4667689644853,-0.953032413724333,0.0980543256657985,1.8619258022411e-22,7.84778643919802e-22
"hsa-mir-219a-1",6.99152558086111,0.619410074676128,0.135368937458674,3.55445181430751e-06,6.06277734212987e-06
"hsa-mir-22",224522.478007766,-0.664889517113375,0.0803955521709509,1.06691580758013e-16,3.44384216370803e-16
"hsa-mir-221",375.058668306572,0.0984259265244944,0.107971410279718,0.388257568893708,0.411666029388339
"hsa-mir-222",162.254062081565,0.224460023096329,0.103281295913803,0.0289423551123549,0.0355677135115687
"hsa-mir-223",481.541445821561,-0.5111090169067,0.138155248888653,0.000188124699391673,0.000278097381709429
"hsa-mir-224",228.755049226435,-0.245957365880798,0.20734965101783,0.2241944859264,0.249648881708437
"hsa-mir-2277",3.22624644354195,0.795996148216476,0.164079281518498,1.04023249782101e-06,1.88127153861247e-06
"hsa-mir-2355",157.127626581109,-0.0998111736620253,0.0978750330545033,0.305131239232101,0.331805825177764
"hsa-mir-23a",10417.5278785328,0.104823425940191,0.0726805528688822,0.163219652828448,0.186223764972055
"hsa-mir-23b",2425.6390534695,-0.0878525041074175,0.0902824680132037,0.326989157829412,0.352567590894292
"hsa-mir-24-1",2148.1406051617,0.212519438265889,0.0767472000537033,0.00589560590556388,0.00770963849189123
"hsa-mir-24-2",2210.78756674375,0.214585066589246,0.0771125137429927,0.00563474915669573,0.00738746033397127
"hsa-mir-25",29536.6009694868,0.0814422845836461,0.087227400958355,0.543250609862832,0.563125632174887
"hsa-mir-26a-1",2687.27832039744,-0.59948053612357,0.0722849839500858,6.5432591600744e-17,2.13914241771663e-16
"hsa-mir-26a-2",2684.593479152,-0.601628345255378,0.0722304273778511,4.85440308910291e-17,1.60762699704058e-16
"hsa-mir-26b",2070.03719931045,-0.312995855240669,0.0859964032929847,0.000258497768852205,0.000373467031486188
"hsa-mir-27a",3094.53453172662,0.567698526043919,0.0818610873570386,9.62030079503106e-12,2.46550422385218e-11
"hsa-mir-27b",1835.59055151286,0.110082835519894,0.0950079324980412,0.245320544783652,0.270808393592343
"hsa-mir-28",14851.5748453015,-0.655028658048309,0.0664972126346662,5.18948248434803e-23,2.24291192120127e-22
"hsa-mir-296",19.8111053003707,-0.670260976591402,0.156639676185818,1.4730200647164e-05,2.40012853995324e-05
"hsa-mir-299",13.9969973449204,-1.02680210177902,0.135424839307984,2.65699316896131e-14,7.69924156914926e-14
"hsa-mir-29a",15735.6511159232,-0.752179473787252,0.0870070544556568,1.14853492000417e-18,4.03967454622155e-18
"hsa-mir-29b-1",754.368404411683,0.616184405209084,0.0949446323363769,7.26213291818373e-11,1.75530226932403e-10
"hsa-mir-29b-2",879.812580785552,0.445431421171618,0.0922785008828977,1.3027964596837e-06,2.33131998048663e-06
"hsa-mir-29c",4819.39485499681,-0.277191280090233,0.123028274830158,0.0223056015202413,0.0276784836382556
"hsa-mir-301a",51.6700298618514,2.28424179154763,0.145885511150776,6.00397265888518e-56,1.45810764572926e-54
"hsa-mir-301b",5.4341996296049,3.80891811916725,0.267099474457841,5.8959256230496e-49,9.69974860566224e-48
"hsa-mir-3065",94.7007604974652,1.57010007191737,0.157823269543829,6.63843728232012e-24,2.9186232879166e-23
"hsa-mir-3074",41.0041324281571,0.945314160410213,0.127161668727977,5.72415217167972e-14,1.62184311530925e-13
"hsa-mir-30a",173274.922208182,-0.357785335063538,0.140559433339735,0.00252397016958479,0.00343259943063531
"hsa-mir-30b",1438.8649722383,-0.352413583798853,0.100130529204614,0.000403844562011926,0.000581809962220572
"hsa-mir-30c-1",1244.45148045634,-0.178522332860806,0.0922534499583851,0.051653311503222,0.0615495066977645
"hsa-mir-30c-2",1435.31449064751,-0.255058763726531,0.0913832483611416,0.00503204001750742,0.00670062769955296
"hsa-mir-30d",21352.6663434438,-0.196884235611765,0.0921975801607218,0.0303234327481137,0.0371368039215018
"hsa-mir-30e",40615.9347565754,-0.0933931785109959,0.0623908229206634,0.0347317588997233,0.0422749332669663
"hsa-mir-31",30.4448078259609,0.905753925810907,0.210231352737803,9.69787856857384e-06,1.61104823126145e-05
"hsa-mir-3117",1.45492213499172,1.97550425483017,0.302306970482607,1.30415837507828e-12,3.48230770308859e-12
"hsa-mir-3127",21.3947240889444,1.00803093861956,0.119716625037235,1.43767511933426e-17,4.92090141517097e-17
"hsa-mir-3129",1.7489842096177,-0.504440354979999,0.168236953135496,0.0024403625990276,0.00334565840189268
"hsa-mir-3130-1",7.34237579791432,0.177198142342342,0.164013451168165,0.273642180019844,0.299479639077512
"hsa-mir-3130-2",7.73901176342455,0.138956378837084,0.161068778294243,0.381129476652051,0.404950068942805
"hsa-mir-3136",1.57550568748963,0.906024914118749,0.194738588740595,3.09339464438884e-06,5.3298353670213e-06
"hsa-mir-3150b",8.18008787585132,2.11067121185462,0.235508330084222,3.24757098068635e-20,1.26432152683209e-19
"hsa-mir-3170",6.47326572863206,1.49523547893034,0.162998082295783,1.05186990935524e-20,4.22404451788327e-20
"hsa-mir-3173",1.48095109266844,0.0480531508034907,0.182299190085617,0.789410877840949,0.798808626386674
"hsa-mir-3199-2",3.86242296532511,-1.54740119850147,0.113568423996462,1.18208689838887e-42,1.25596732953817e-41
"hsa-mir-32",68.1047837166353,1.37121863135409,0.0906455564285244,9.04011145893153e-52,1.77325263232888e-50
"hsa-mir-3200",14.9187769571444,1.99652820309238,0.188695638808647,1.61657037432494e-26,8.00437758160895e-26
"hsa-mir-320a",1517.73237709767,-0.483327225002738,0.0827993312190841,4.62410155491279e-09,9.78544312450425e-09
"hsa-mir-320b-1",6.48734219538644,0.517377646211051,0.129091128047997,5.49740655482272e-05,8.5739368286226e-05
"hsa-mir-320b-2",9.88167584436304,0.680246318727518,0.12561585304611,5.07199673024833e-08,1.00260400481653e-07
"hsa-mir-320c-1",1.97708144778769,-0.644455362777516,0.156778643186652,3.21925203164733e-05,5.06734116092636e-05
"hsa-mir-320d-1",1.53357088550028,1.0443924049352,0.251630120459356,1.71894919005999e-05,2.78306059343046e-05
"hsa-mir-320d-2",1.51019274071393,0.528445985430168,0.22623737870846,0.0161681168291693,0.0202598024149296
"hsa-mir-323a",13.1712357593568,0.0798415049756451,0.15077400387663,7.92648167680442e-06,1.32541169021976e-05
"hsa-mir-323b",14.6242422283539,0.948604141342566,0.185100669895297,0.0046153880461417,0.00617807848696133
"hsa-mir-324",136.391254078328,0.737792947441141,0.0890566762666438,9.17663396447264e-17,2.98094479100704e-16
"hsa-mir-326",41.327006057036,-1.19430793402207,0.132558716018981,1.08351065764785e-19,4.12380921940599e-19
"hsa-mir-328",181.45640937491,-0.756612231866481,0.106032914038379,7.2750957162807e-13,1.9841170135311e-12
